mean_int,sd_int,skew_int,kurt_int,target_area,bbox_width,bbox_length,aspect_ratio,scatter_sd_x,scatter_sd_y,dist_max_to_center,mu_20,mu_02,shape_spread_ratio,shadow_area,shadow_to_target_ratio
0.100635484,0.087297014,4.656116862,35.88499491,3479,127,127,1,29.51238969,26.09322461,14.69771278,1276.04078,1146.286595,1.113195238,836,0.240298936
0.223789589,0.157614233,1.975787789,6.371601614,3289,127,127,1,27.81744414,27.71705786,18.36596381,1261.249573,1196.541601,1.054079166,820,0.249315901
0.081047746,0.080227,5.936046214,53.4484675,3369,127,127,1,27.88809436,28.14640586,11.39776899,1265.754637,1207.352161,1.048372363,971,0.288216088
0.106860591,0.100182822,4.758497682,34.27307188,3444,127,127,1,29.02099783,28.79958542,8.963717751,1283.524987,1264.078687,1.015383773,876,0.254355401
0.100278608,0.100829409,5.239195525,37.85631981,3381,127,127,1,27.85377823,27.7158894,6.393916228,1221.659022,1257.229361,1.029116422,842,0.249038746
0.104878983,0.111279397,5.149539075,34.45324115,3355,127,127,1,26.20833329,27.93361526,10.56936377,1225.233603,1293.197014,1.055469757,853,0.254247392
0.191678634,0.149681811,2.439863838,9.290479403,3386,127,127,1,26.20822329,28.58045095,15.19743575,1186.677559,1244.728147,1.048918586,862,0.254577673
0.110154096,0.101312449,4.634635444,32.51449534,3400,127,127,1,29.10474217,28.6734133,3.754769424,1216.149819,1257.865135,1.034301132,988,0.290588235
0.146105,0.122721394,3.281920352,17.26554121,3385,127,127,1,29.70023226,29.21699477,14.14554495,1268.43231,1262.135121,1.004989315,894,0.264106352
0.187608906,0.143785619,2.354347019,9.148586873,3403,127,127,1,29.0004527,29.59312886,8.785438266,1244.338008,1227.951521,1.013344571,882,0.259183074
0.140409821,0.117125536,3.484837446,19.87166595,3410,127,127,1,29.73438697,29.49996912,18.90625376,1280.875157,1282.051475,1.000918371,964,0.282697947
0.090452187,0.09137312,5.475761582,43.19426503,3403,127,127,1,28.30859405,28.56982672,23.79566448,1240.733903,1209.686411,1.025665736,972,0.285630326
0.098742915,0.094098558,4.967087952,37.64021078,3497,127,127,1,28.50361547,25.39332256,17.8421941,1284.502392,1153.932645,1.113151966,986,0.281955962
0.122303204,0.107886904,4.134251566,26.59576852,3412,127,127,1,28.34626627,28.76042085,13.9371826,1307.627608,1191.265072,1.097679801,891,0.261137163
0.168011116,0.131369343,2.863881127,13.41998314,3374,127,127,1,30.0893074,25.82236291,22.71765986,1326.765671,1086.028791,1.221667126,822,0.243627742
0.223040173,0.161324111,1.945374234,5.9835016,3349,127,127,1,30.4126566,28.49110706,22.34302701,1294.793145,1204.221286,1.075211973,848,0.253209913
0.148547363,0.119022934,3.237837379,17.61468208,3331,127,127,1,29.48214894,27.22541513,20.04544779,1274.105055,1167.569192,1.091245866,832,0.249774842
